judul,harga,lokasi,kamar_tidur,kamar_mandi,carport,luas_tanah,luas_bangunan
Bebas Banjir,"Rp 3,6 Miliar","Rp 3,6 Miliar",,,,236 m²,400 m²
"Rp 2,9 Miliar","Rp 2,9 Miliar","Rp 2,9 Miliar",3,2,,112 m²,160 m²
Full Furnished,"Rp 3,1 Miliar","Rp 3,1 Miliar",3,1,,162 m²,125 m²
Dekat Akses Transportasi,"Rp 1,19 Miliar","Rp 1,19 Miliar",3,2,,70 m²,88 m²
Subsidi,"Rp 6,5 Miliar","Rp 6,5 Miliar",5,1,,180 m²,285 m²
Subsidi,"Rp 6,5 Miliar","Rp 6,5 Miliar",5,1,,180 m²,285 m²
Siap Huni,"Rp 3,2 Miliar","Rp 3,2 Miliar",,,,128 m²,200 m²
Siap Huni,"Rp 4,5 Miliar","Rp 4,5 Miliar",3,2,,206 m²,237 m²
Full Furnished,"Rp 2,15 Miliar","Rp 2,15 Miliar",3,1,,66 m²,86 m²
Full Furnished,Rp 2 Miliar,"Gading Serpong, Tangerang",3,1,,80 m²,130 m²
Siap Huni,"Rp 1,5 Miliar","Rp 1,5 Miliar",2,1,,56 m²,70 m²
Full Furnished,"Rp 2,5 Miliar","Rp 2,5 Miliar",4,1,,119 m²,189 m²
Full Furnished,"Rp 1,3 Miliar","Rp 1,3 Miliar",2,1,,50 m²,68 m²
Dekat Akses Transportasi,Rp 880 Juta,"Rumah 2 Lantai Murah Paling Dicari di Alam Sutera 2, Cocok Untuk Investasi",2,1,,49 m²,44 m²
Dekat Akses Transportasi,Rp 799 Juta,"BSD, Tangerang",2,1,,72 m²,42 m²
Siap Huni,"Rp 1,65 Miliar","Rp 1,65 Miliar",3,1,,60 m²,69 m²
Full Furnished,"Rp 3,9 Miliar","Rp 3,9 Miliar",,,,210 m²,159 m²
Dekat Sekolah,Rp 17 Miliar,"Rumah Mewah Taman Tirta Golf, Bsd City Tangerang",7,2,,708 m²,968 m²
"Rp 2,7 Miliar","Rp 2,7 Miliar","Rp 2,7 Miliar",,,,102 m²,130 m²
Rp 3 Miliar,Rp 3 Miliar,"Alam Sutera, Tangerang",,,,96 m²,130 m²
"Rp 1,17 Miliar","Rp 1,17 Miliar","Rp 1,17 Miliar",,,,60 m²,50 m²
"Rp 3,2 Miliar","Rp 3,2 Miliar","Rp 3,2 Miliar",,,,128 m²,130 m²
"Rp 2,1 Miliar","Rp 2,1 Miliar","Rp 2,1 Miliar",,,,108 m²,150 m²
Siap Huni,"Rp 2,25 Miliar","Rp 2,25 Miliar",,,,126 m²,150 m²
Siap Huni,"Rp 1,9 Miliar","Rp 1,9 Miliar",,,,90 m²,124 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,56 m²,70 m²
Siap Huni,"Rp 2,16 Miliar","Rp 2,16 Miliar",4,2,,79 m²,146 m²
Full Furnished,"Rp 1,1 Miliar","Rp 1,1 Miliar",3,1,,72 m²,84 m²
Full Furnished,"Rp 3,3 Miliar","Rp 3,3 Miliar",5,2,,200 m²,150 m²
"Rp 2,8 Miliar","Rp 2,8 Miliar","Rp 2,8 Miliar",4,2,,144 m²,225 m²
"Rp 4,99 Miliar","Rp 4,99 Miliar","Rp 4,99 Miliar",5,2,,171 m²,277 m²
"Rp 2,4 Miliar","Rp 2,4 Miliar","Rp 2,4 Miliar",4,1,,96 m²,161 m²
Full Furnished,"Rp 4,08 Miliar","Rp 4,08 Miliar",3,3,,144 m²,288 m²
Full Furnished,"Rp 3,6 Miliar","Rp 3,6 Miliar",3,2,,144 m²,195 m²
Dekat Akses Transportasi,Rp 970 Juta,"BSD, Tangerang",3,1,,68 m²,74 m²
Dekat Akses Transportasi,Rp 970 Juta,"Bintaro, Tangerang Selatan",3,1,,68 m²,70 m²
Siap Huni,"Rp 2,85 Miliar","Rp 2,85 Miliar",3,1,,119 m²,120 m²
Bebas Banjir,Rp 800 Juta,"Bintaro, Tangerang Selatan",2,1,,65 m²,36 m²
Dekat Sekolah,"Rp 3,6 Miliar","Rp 3,6 Miliar",,,,120 m²,120 m²
"Rp 11,7 Miliar","Rp 11,7 Miliar","Rp 11,7 Miliar",5,2,,480 m²,400 m²
Siap Huni,"Rp 13,1 Miliar","Rp 13,1 Miliar",5,2,,320 m²,390 m²
"Rp 11,7 Miliar","Rp 11,7 Miliar","Rp 11,7 Miliar",4,2,,480 m²,400 m²
Siap Huni,"Rp 5,13 Miliar","Rp 5,13 Miliar",4,2,,214 m²,179 m²
"Rp 11,5 Miliar","Rp 11,5 Miliar","Rp 11,5 Miliar",,,,252 m²,420 m²
Full Furnished,"Rp 2,65 Miliar","Rp 2,65 Miliar",3,1,,91 m²,79 m²
"Rp 2,3 Miliar","Rp 2,3 Miliar","Rp 2,3 Miliar",3,1,,160 m²,100 m²
"Rp 3,1 Miliar","Rp 3,1 Miliar","Rp 3,1 Miliar",5,2,,84 m²,144 m²
Dekat Akses Transportasi,"Rp 3,9 Miliar","Rp 3,9 Miliar",4,2,,139 m²,260 m²
Dekat Akses Transportasi,"Rp 6,5 Miliar","Rp 6,5 Miliar",4,2,,264 m²,350 m²
Siap Huni,"Rp 1,65 Miliar","Rp 1,65 Miliar",2,1,,120 m²,85 m²
Bebas Banjir,"Rp 1,15 Miliar","Rp 1,15 Miliar",,,,48 m²,55 m²
Bebas Banjir,"Rp 3,99 Miliar","Rp 3,99 Miliar",,,,144 m²,268 m²
