Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
883316616,550000000.0,Maja,2024-10-11T00:45:54+0000,2,1,160,30
926849592,330000000.0,Cibungbulang,2024-10-10T18:05:02+0000,2,1,72,65
915959760,2200000000.0,Leuwiliang,2024-10-10T17:22:00+0000,4,6,1404,200
910852786,100000000.0,Cisoka,2024-10-10T13:41:46+0000,2,1,60,30
926843872,732458868.0,Munjul,2024-10-10T13:18:40+0000,3,3,60,70
926843697,25000000.0,Cipocok Jaya,2024-10-10T13:12:18+0000,2,1,66,36
926843616,741588889.0,Balaraja,2024-10-10T13:10:00+0000,3,3,60,70
926842310,470000000.0,Panongan,2024-10-10T12:29:31+0000,2,1,90,60
926841827,55000000.0,Parung Panjang,2024-10-10T12:13:55+0000,2,1,102,36
926841765,400000000.0,Labuan,2024-10-10T12:11:43+0000,3,2,156,146
926841552,1.0,Cibungbulang,2024-10-10T12:04:15+0000,2,1,72,36
926841346,180000000.0,Parung Panjang,2024-10-10T11:56:48+0000,2,1,98,36
926840879,300000000.0,Maja,2024-10-10T11:42:06+0000,2,1,106,36
926838344,1700000000.0,Panongan,2024-10-10T10:26:18+0000,3,2,126,200
926838265,425000000.0,Legok,2024-10-10T10:23:46+0000,2,1,66,36
918855875,270000000.0,Maja,2024-10-10T09:59:49+0000,2,1,72,54
926836009,280000000.0,Leuwiliang,2024-10-10T09:34:04+0000,2,1,200,128
926835759,700000000.0,Legok,2024-10-10T09:27:37+0000,3,1,94,94
926835356,125000000.0,Cibungbulang,2024-10-10T09:20:05+0000,2,1,72,54
926833635,85000000.0,Parung Panjang,2024-10-10T08:46:07+0000,2,1,60,30
916441563,2700000000.0,Legok,2024-10-10T08:13:28+0000,4,3,84,144
926831070,230000000.0,Rangkasbitung,2024-10-10T07:58:59+0000,3,2,72,72
926828620,485000000.0,Legok,2024-10-10T07:13:11+0000,2,1,68,68
926827031,470000000.0,Legok,2024-10-10T06:45:07+0000,2,1,50,29
926826089,582276388.0,Jambe,2024-10-10T06:27:47+0000,2,1,77,45
926824529,310000000.0,Cipocok Jaya,2024-10-10T06:00:03+0000,2,1,72,36
926823099,350000000.0,Tigaraksa,2024-10-10T05:33:47+0000,2,1,60,60
926821092,95000000.0,Jambe,2024-10-10T04:47:36+0000,2,1,60,30
926821006,390000000.0,Tenjo,2024-10-10T04:45:51+0000,2,1,60,39
919477597,38523623.0,Leuwiliang,2024-10-10T04:33:24+0000,2,1,60,36
926818967,1100000000.0,Tigaraksa,2024-10-10T04:09:17+0000,7,5,200,250
926818028,200000000.0,Munjul,2024-10-10T03:53:04+0000,2,1,30,30
926817612,570000000.0,Legok,2024-10-10T03:45:38+0000,2,1,50,29
926813437,260000000.0,Parung Panjang,2024-10-10T02:21:50+0000,3,1,60,21
926808814,350000000.0,Ciampea,2024-10-09T23:32:32+0000,3,2,100,80
800099820,100000000.0,Maja,2024-10-09T22:32:21+0000,2,1,72,27
